gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
EPHB2,"['C0376358', 'Prostate cancer', 'HPO', 'HP:0012125']",NA,0.2244477798566335,27,4518,1.0
FOXP1,"['C0376358', 'Prostate cancer', 'HPO', 'HP:0012125']",NA,0.2244477798566335,27,4518,1.0
GCA,"['C0024141', 'Systemic lupus erythematosus', 'OMIM, SNOMEDCT_US, HPO', 'HP:0002725']",NA,0.22444847718307664,417,1123,3.0
VGF,"['C0027796', 'Neuralgia', 'MSH, SNOMEDCT_US', 'NULL']",NA,0.2244494084367789,73,1671,1.0
RNF43,"['C0033036', 'Ectopic supraventricular rhythms', 'HPO', 'HP:0006699']",NA,0.22445375151298724,175,697,1.0
MORC4,"['C0149521', 'Chronic pancreas inflammation', 'HPO', 'HP:0006280']",1.0,0.2244574962007916,169,6474,6.0
TTYH1,"['C0007102', 'Colon cancer', 'HPO', 'HP:0003003']",NA,0.22445755193834221,36,3388,1.0
LMNA,"['C0004153', 'Atheromatosis', 'SNOMEDCT_US, HPO', 'HP:0002635']",1.0,0.22446305754157994,369,4871,9.0
DAXX,"['C0035335', 'Retinoblastoma', 'HPO', 'HP:0009919']",NA,0.22448361787513968,192,635,1.0
CBS,"['C0949664', 'Tauopathies', 'MSH', 'NULL']",1.0,0.22450263075774,1283,95,1.0
KCNA2,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.22453795488613043,5,24364,1.0
THADA,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.22453795488613043,5,24364,1.0
CNTN5,"['PPTO', '\tPain', 'PPTO', 'NULL']",NA,0.22453795488613043,5,24364,1.0
DDIT4,"['C0009443', '(Acute nasopharyngitis or rhinitis) or (common cold)', 'SNOMEDCT_US', 'NULL']",NA,0.22455317724243778,32,3806,1.0
HTT,"['C1535926', 'Child Mental Disorders', 'MSH', 'NULL']",NA,0.22455690285404956,1232,231,2.0
CCL27,"['C0015967', 'Fever', 'MSH, OMIM, SNOMEDCT_US, HPO, PPTO', 'HP:0001945']",NA,0.22456459630647135,13,9367,1.0
ADA,"['C0018203', 'CGD - Chronic granulomatous disease', 'SNOMEDCT_US', 'NULL']",NA,0.22456840309876963,834,146,1.0
CD2,"['C0497156', 'Lymph node hyperplasia', 'HPO', 'HP:0002716']",NA,0.2245716662377842,91,1338,1.0
FBXW7,"['C0023467', 'Acute myeloblastic leukemia', 'HPO', 'HP:0004808']",NA,0.22457275398652277,122,998,1.0
IL6,"['C0039483', 'GCA - Giant cell arteritis', 'SNOMEDCT_US', 'NULL']",1.0,0.22457873692398803,1873,65,1.0
GIP,"['C1262477', 'Decreased body weight', 'HPO', 'HP:0004325']",NA,0.22458221794753458,1000,5965,24.0
CD81,"['C0401151', 'Chronic diarrhea', 'OMIM, SNOMEDCT_US, HPO', 'HP:0002028']",NA,0.22458798434525173,317,384,1.0
TMEM120A,"['C0028754', 'Having too much body fat', 'HPO', 'HP:0001513']",NA,0.2245891024833272,12,23705,2.0
IL1B,"['C0155626', 'AMI - Acute myocardial infarction', 'SNOMEDCT_US', 'NULL']",1.0,0.2245945127143189,294,414,1.0
METTL3,"['C0023467', 'Acute myeloblastic leukemia', 'HPO', 'HP:0004808']",NA,0.22463584471565803,468,998,3.0
APOA4,"['C0813230', 'Hypertriglyceridemia', 'MSH, HPO, SNOMEDCT_US', 'HP:0002155']",S,0.2246385960477425,45,2703,1.0
FADD,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.2246509124292531,340,7501,12.0
CXCR5,"['C0002736', 'Amyotrophic lateral sclerosis', 'OMIM, HPO, SNOMEDCT_US', 'HP:0007354']",NA,0.2246630994750633,386,315,1.0
AANAT,"['C0017638', 'Glioma', 'HPO', 'HP:0009733']",NA,0.22466636728387146,51,2384,1.0
PINK1,"['C0154682', 'Lateral Sclerosis', 'MSH', 'NULL']",NA,0.22466636728387146,408,298,1.0
FABP4,"['C0042487', 'Blood clot in vein', 'HPO', 'HP:0004936']",NA,0.22467835062934052,266,457,1.0
USP7,"['C0007131', 'Non-small cell lung cancer', 'HPO', 'HP:0030358']",NA,0.2246897913005508,97,1253,1.0
TFE3,"['C0007131', 'Non-small cell lung cancer', 'HPO', 'HP:0030358']",NA,0.2246897913005508,97,1253,1.0
CXCL11,"['C0040147', 'Thyroid gland inflammation', 'HPO', 'HP:0100646']",NA,0.22469033614372308,206,590,1.0
TP53,"['C0039446', 'Cutaneous telangiectasia', 'HPO', 'HP:0001009']",1.0,0.22469704737619584,3073,216,4.0
LY6D,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.22470265214527735,15,18933,2.0
LY6H,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.22470265214527735,15,18933,2.0
SPINK6,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.22470265214527735,15,18933,2.0
GAB1,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.22470265214527735,15,18933,2.0
CYP3A4,"['C0027709', 'Nephrocalcinosis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0000121']",NA,0.22470722850592229,587,207,1.0
CARD9,"['C0023798', 'Fatty lump', 'HPO', 'HP:0012032']",S,0.22472030942383026,455,267,1.0
VAPB,"['C0042769', 'Disease caused by virus', 'SNOMEDCT_US', 'NULL']",NA,0.22472194472026757,17,7146,1.0
FGF23,"['C0020598', 'Hypocalcemia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002901']",NA,0.2247252154342968,191,636,1.0
EPO,"['C0041782', 'Deficiency anemias', 'SNOMEDCT_US', 'NULL']",NA,0.22473884514853457,671,181,1.0
ASS1,"['C0023470', 'Myeloid leukemia', 'HPO', 'HP:0012324']",NA,0.224740480902776,94,1292,1.0
APC,"['C0033626', 'Protein Deficiency', 'MSH', 'NULL']",NA,0.224740480902776,1786,68,1.0
EPCAM,"['C1844666', 'Immune dysregulation', 'HPO', 'HP:0002958']",S,0.22474484311163626,220,552,1.0
ARTN,"['C0033774', 'Itching', 'HPO', 'HP:0000989']",S,0.22474665677484665,255,1113,2.0
PTPN13,"['C0023895', 'Liver disease', 'SNOMEDCT_US, HPO', 'HP:0001392']",NA,0.2247590222753118,17,7142,1.0
ADAMTS13,"['C0002871', 'Anemia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001903']",S,0.22476975929332016,378,4100,8.0
CYBC1,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.22478081609316503,64,17022,6.0
PHLPP1,"['C0024623', 'Gastric cancer', 'HPO', 'HP:0012126']",NA,0.22478084230337844,22,5517,1.0
PLOD3,"['C0024623', 'Gastric cancer', 'HPO', 'HP:0012126']",NA,0.22478084230337844,22,5517,1.0
NTRK1,"['C0206698', 'Bile duct cancer', 'HPO', 'HP:0030153']",S,0.2247884810121142,80,1517,1.0
SDHA,"['C0878544', 'Disease of the heart muscle', 'HPO', 'HP:0001638']",NA,0.22480048647782655,54,2247,1.0
ABCC9,"['C0024115', 'Lung disease', 'HPO', 'HP:0002088']",NA,0.2248168610758623,33,3676,1.0
PTEN,"['C0009373', 'Colonic Diseases', 'MSH', 'NULL']",S,0.2248348778115411,2695,45,1.0
CYLD,"['C0007114', 'Skin cancer', 'HPO', 'HP:0008069']",NA,0.22484143056731212,249,487,1.0
KMO,"['C0276138', 'Viral myocarditis', 'SNOMEDCT_US', 'NULL']",NA,0.2248501776065721,1107,256,2.0
TPP1,"['C0014544', 'Epilepsy', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001250']",NA,0.22486109272603502,51,2377,1.0
MPO,"['C0032131', 'Plasmacytoma', 'HPO', 'HP:0011857']",1.0,0.2248665554730295,2819,43,1.0
PAH,"['C0036749', 'Serositis', 'HPO', 'HP:0045073']",NA,0.22488349285309606,1027,118,1.0
TRAF6,"['C0029400', 'Bone Inflammation', 'MSH', 'NULL']",NA,0.22488895744833926,918,132,1.0
ALB,"['C0010068', 'CHD - Coronary heart disease', 'SNOMEDCT_US', 'NULL']",1.0,0.22489574632443238,462,613,2.0
TLR4,"['C0010232', 'Cow Pox', 'MSH', 'NULL']",1.0,0.22489879485630193,6731,18,1.0
TLR4,"['C0006060', 'Boutonneuse Fever', 'MSH', 'NULL']",1.0,0.22489879485630193,6731,18,1.0
TLR4,"['C0262380', 'ASB - Asymptomatic bacteriuria', 'SNOMEDCT_US', 'NULL']",1.0,0.22489879485630193,6731,18,1.0
NRM,"['C0277556', 'Recurrent disease', 'SNOMEDCT_US', 'NULL']",NA,0.22490808708366308,529,229,1.0
SMARCA2,"['C1140680', 'Ovarian cancer', 'HPO', 'HP:0100615']",NA,0.22491560012127929,75,3775,2.0
SRM,"['C1956346', 'Coronary disease', 'HPO', 'HP:0001677']",NA,0.2249250350910616,110,1101,1.0
AFP,"['C0034013', 'Early onset of puberty', 'HPO', 'HP:0000826']",NA,0.22492940947460022,802,151,1.0
MFN2,"['C0030567', 'Idiopathic Parkinson Disease', 'MSH', 'NULL']",NA,0.22493815910865972,93,1302,1.0
CARD9,"['C2937358', 'Bleeding in brain', 'HPO', 'HP:0001342']",S,0.2249687919351937,455,266,1.0
FGF2,"['C0022548', 'Keloids', 'HPO', 'HP:0010562']",NA,0.2249775467747006,486,249,1.0
SOX9,"['C0158266', 'Degenerative disc disease', 'HPO, SNOMEDCT_US', 'HP:0008419']",S,0.22499560728748516,823,147,1.0
IL5,"['C0020517', 'Allergy', 'HPO', 'HP:0012393']",S,0.22500053373687398,51,2372,1.0
IFITM1,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.22500840031249986,111,167631,61.0
SSB,"['C0085605', 'Hepatic failure', 'OMIM, SNOMEDCT_US, HPO', 'HP:0001399']",NA,0.22501740937494827,170,1663,2.0
ADA,"['C0032461', 'Abnormally shaped erythrocytes', 'HPO', 'HP:0001901']",NA,0.22502352868122552,834,145,1.0
MSH2,"['C0238198', 'GI stroma tumor', 'HPO', 'HP:0100723']",NA,0.2250251714828376,519,233,1.0
MEFV,"['C0231528', 'Myalgia', 'OMIM, MSH, HPO, SNOMEDCT_US', 'HP:0003326']",1.0,0.2250341056222415,326,867,2.0
CBS,"['C0023903', 'Liver tumor', 'HPO', 'HP:0002896']",1.0,0.2250372741949919,1283,362,3.0
NHS,"['C1282952', 'Enthesitis', 'HPO, SNOMEDCT_US', 'HP:0100686']",NA,0.22503776764934155,952,127,1.0
CX3CL1,"['C0458247', 'Allodynia', 'HPO', 'HP:0012533']",NA,0.22503828031170553,425,665,2.0
BCL6,"['C0392674', 'Exhaustion', 'OMIM, SNOMEDCT_US', 'NULL']",NA,0.22505639245935855,102,1185,1.0
POLRMT,"['C0233660', 'Blocking', 'SNOMEDCT_US', 'NULL']",NA,0.22506625477400616,18,6714,1.0
LAD1,"['C0233660', 'Blocking', 'SNOMEDCT_US', 'NULL']",NA,0.22506625477400616,18,6714,1.0
PIK3CD,"['C3714552', 'Generalized weakness', 'OMIM, HPO', 'HP:0003324']",NA,0.22507173447243614,74,1633,1.0
DSC2,"['C4087124', 'IgG4 Related Systemic Disease', 'MSH', 'NULL']",NA,0.22507173447243614,37,3266,1.0
MVK,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.22507564029719176,77,17022,7.0
IDH2,"['C0557874', 'Delayed cognitive development', 'OMIM, HPO', 'HP:0001263']",NA,0.22508488759900339,193,626,1.0
S100A1,"['C1140680', 'Ovarian cancer', 'HPO', 'HP:0100615']",NA,0.22509475415870195,32,3775,1.0
NLRP6,"['C0009319', 'Colitis', 'MSH, OMIM, HPO, SNOMEDCT_US', 'HP:0002583']",NA,0.2250976371898083,122,8892,6.0
EFS,"['C0023487', 'Acute promyelocytic leukemia', 'HPO', 'HP:0004836']",NA,0.22510571872724738,1098,110,1.0
IRF2,"['C0023467', 'Acute myeloblastic leukemia', 'HPO', 'HP:0004808']",S,0.2251177818498928,121,998,1.0
AOX1,"['C0005695', 'Bladder cancer', 'HPO', 'HP:0009725']",NA,0.2251188786063803,87,1388,1.0
ADA2,"['C0424295', 'Hyperactive behavior', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000752']",NA,0.2251188786063803,174,694,1.0
PIEZO1,"['C0424295', 'Hyperactive behavior', 'OMIM, HPO, SNOMEDCT_US', 'HP:0000752']",S,0.2251188786063803,174,694,1.0
MYH9,"['C0011881', 'Diabetes + nephropathy', 'SNOMEDCT_US', 'NULL']",NA,0.22512216898483514,105,1150,1.0
CTRC,"['C0038238', 'Fat in feces', 'HPO', 'HP:0002570']",1.0,0.2251254595267911,351,344,1.0
CDK5,"['C0524851', 'Neurodegenerative disease', 'HPO', 'HP:0002180']",NA,0.22514174545803958,117,2412,2.0
IL10RA,"['C1290884', 'Inflammatory disease', 'SNOMEDCT_US', 'NULL']",NA,0.22515398440837753,22,5486,1.0
NHS,"['C0007114', 'Skin cancer', 'HPO', 'HP:0008069']",NA,0.22516378196337886,952,487,3.0
IL2,"['C0011615', 'Atopic dermatitis, chronic', 'OMIM, HPO', 'HP:0001047']",NA,0.2251666051032779,219,551,1.0
XPC,"['C0345904', 'Liver cancer', 'HPO', 'HP:0002896']",NA,0.2251715442908972,60,2011,1.0
TRPA1,"['C0152031', 'Joint swelling', 'HPO', 'HP:0001386']",NA,0.22518855986865036,1699,71,1.0
CIC,"['C2936719', 'Allodynias, Mechanical', 'MSH', 'NULL']",NA,0.22519075574557956,193,625,1.0
PLN,"['C0151317', 'Chronic infection', 'SNOMEDCT_US, HPO', 'HP:0031035']",NA,0.22519350069414173,163,740,1.0
TRPM3,"['C3714756', 'Mental retardation, nonspecific', 'OMIM, HPO', 'HP:0001249']",NA,0.22519624575649128,215,561,1.0
PGK1,"['C0013203', 'Drug resistance', 'HPO', 'HP:0020174']",NA,0.22520338345119237,47,2566,1.0
CBS,"['C0010308', 'Congenital goiter', 'HPO, SNOMEDCT_US', 'HP:0008251']",1.0,0.22520338345119237,1283,94,1.0
CDC73,"['C0020437', 'High blood calcium levels', 'HPO', 'HP:0003072']",1.0,0.2252461040093511,146,1930,2.0
ESR1,"['C0678222', 'Breast cancer', 'HPO', 'HP:0003002']",NA,0.22525918747104634,214,13045,13.0
NR1I3,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.22527040548603752,4,30120,1.0
PIGT,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.22527040548603752,4,30120,1.0
TMEM199,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.22527040548603752,4,30120,1.0
NTRK3,"['C0040034', 'Thrombocytopenia', 'MSH, SNOMEDCT_US, HPO', 'HP:0001873']",NA,0.22527810087972033,58,2077,1.0
MAL,"['C0014038', 'Encephalitis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002383']",NA,0.22529624356105793,83,1451,1.0
ARC,"['C0020429', 'Hyperalgesia', 'MSH, SNOMEDCT_US, OMIM, HPO', 'HP:0031005']",NA,0.22529853892240714,375,1234,3.0
HDAC6,"['C0027746', 'Neurodegeneration', 'HPO', 'HP:0002180']",NA,0.22531017515862833,230,1224,2.0
FUT8,"['C1621958', 'Glioblastoma', 'HPO', 'HP:0012174']",NA,0.22531214751685075,154,1828,2.0
LDLRAP1,"['C0007222', 'Cardiovascular disease', 'SNOMEDCT_US, HPO', 'HP:0001626']",NA,0.22532319186713387,22,5472,1.0
IL1R2,"['C0007222', 'Cardiovascular disease', 'SNOMEDCT_US, HPO', 'HP:0001626']",NA,0.22532319186713387,22,5472,1.0
SCARB1,"['C0007222', 'Cardiovascular disease', 'SNOMEDCT_US, HPO', 'HP:0001626']",NA,0.22532319186713387,22,5472,1.0
BRD2,"['C0029408', 'Degenerative joint disease', 'OMIM, SNOMEDCT_US, HPO', 'HP:0002758']",NA,0.22532814274834279,107,1125,1.0
HDAC6,"['C0345904', 'Liver cancer', 'HPO', 'HP:0002896']",NA,0.22533249953471915,230,2011,3.0
TRIB3,"['C0007131', 'Non-small cell lung cancer', 'HPO', 'HP:0030358']",NA,0.22537602035942828,96,1253,1.0
CAD,"['C0003486', 'Aortic aneurysm', 'OMIM, SNOMEDCT_US, HPO', 'HP:0004942']",NA,0.22538192563545648,1302,355,3.0
LIF,"['C0032310', 'Pneumonia, Viral', 'MSH', 'NULL']",NA,0.2253870316020049,562,214,1.0
AXL,"['C0023473', 'Chronic myelocytic leukemia', 'HPO', 'HP:0005506']",NA,0.2253903353318478,314,383,1.0
HDAC8,"['C0007137', 'Squamous cell carcinoma', 'HPO', 'HP:0002860']",NA,0.22539308856596185,53,2269,1.0
PSCA,"['C0007137', 'Squamous cell carcinoma', 'HPO', 'HP:0002860']",NA,0.22539308856596185,53,2269,1.0
PTPN6,"['C0007137', 'Squamous cell carcinoma', 'HPO', 'HP:0002860']",NA,0.22539308856596185,53,2269,1.0
TRPC4AP,"['C0242606', 'Oxidative stress', 'HPO', 'HP:0025464']",NA,0.2253952912356749,7,17179,1.0
ANGPTL8,"['C3839736', 'Sensitization', 'SNOMEDCT_US', 'NULL']",NA,0.225397493978657,93,1293,1.0
WT1,"['C0023467', 'Acute myeloblastic leukemia', 'HPO', 'HP:0004808']",NA,0.22540294209104053,463,998,3.0
DGAT2,"['C2711227', 'Fatty infiltration of liver', 'OMIM, HPO', 'HP:0001397']",NA,0.22542210954524383,50,9239,3.0
PAK1,"['C0003811', 'Arrhythmia', 'OMIM, SNOMEDCT_US, HPO, MSH', 'HP:0011675']",NA,0.22542736603631008,282,1638,3.0
NNMT,"['C0023903', 'Liver tumor', 'HPO', 'HP:0002896']",NA,0.2254332988253918,332,362,1.0
TSC1,"['C0079731', 'B cell lymphoma', 'HPO', 'HP:0012191']",NA,0.22544101317308857,122,985,1.0
PDCD4,"['C0079731', 'B cell lymphoma', 'HPO', 'HP:0012191']",NA,0.22544101317308857,122,985,1.0
IFNAR1,"['C0024141', 'Systemic lupus erythematosus', 'OMIM, SNOMEDCT_US, HPO', 'HP:0002725']",S,0.225445972871209,107,1123,1.0
LEP,"['C0007134', 'Cancer starting in small tubes in kidneys', 'HPO', 'HP:0005584']",1.0,0.2254487284195717,93,1292,1.0
PAX5,"['C0023470', 'Myeloid leukemia', 'HPO', 'HP:0012324']",NA,0.2254487284195717,93,1292,1.0
ANGPTL8,"['C0020443', 'Elevated total cholesterol', 'OMIM, HPO', 'HP:0003124']",NA,0.2254487284195717,93,1292,1.0
IL6,"['C0024236', 'Lymphedema', 'HPO', 'HP:0001004']",1.0,0.2254508461432166,1873,150,2.0
NOS2,"['C0025007', 'Measles', 'MSH, SNOMEDCT_US', 'NULL']",S,0.22545644456505068,254,473,1.0
FOXO3,"['C0018133', 'GVHD - Graft-versus-host disease', 'SNOMEDCT_US', 'NULL']",NA,0.22546636664483433,118,1018,1.0
RGS4,"['C2711227', 'Fatty infiltration of liver', 'OMIM, HPO', 'HP:0001397']",NA,0.22547573886323016,13,9239,1.0
NHS,"['C0024291', 'Hemophagocytic lymphohistiocytosis (disorder)', 'SNOMEDCT_US', 'NULL']",NA,0.22547802602559444,952,295,2.0
CYP2D6,"['C0149931', 'Migraine', 'OMIM, SNOMEDCT_US, HPO, MSH', 'HP:0002076']",NA,0.22548791225873743,288,975,2.0
PDIA3,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.22552593036377086,16,7501,1.0
TICAM1,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",1.0,0.22552593036377086,16,7501,1.0
TYMP,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.22552593036377086,16,7501,1.0
SMURF1,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.22552593036377086,16,7501,1.0
RBL2,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.22552593036377086,16,7501,1.0
LAMA1,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.22552593036377086,16,7501,1.0
DOT1L,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.22552593036377086,16,7501,1.0
PTGIS,"['C0271510', 'Auditory recruitment', 'SNOMEDCT_US', 'NULL']",NA,0.22552593036377086,16,7501,1.0
PALB2,"['C0002871', 'Anemia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001903']",NA,0.22552883034636195,492,4100,10.0
PGD,"['C1956346', 'Coronary disease', 'HPO', 'HP:0001677']",NA,0.22552979282460775,109,1101,1.0
ITPR3,"['C0004364', 'Autoimmune condition', 'HPO', 'HP:0002960']",NA,0.22553807028509762,21,5714,1.0
CASP5,"['C0004364', 'Autoimmune condition', 'HPO', 'HP:0002960']",NA,0.22553807028509762,21,5714,1.0
ATF3,"['C0596170', 'Binge eating', 'SNOMEDCT_US', 'NULL']",S,0.2255413815590228,297,404,1.0
NCL,"['C0027746', 'Neurodegeneration', 'HPO', 'HP:0002180']",NA,0.2255612526804259,98,1224,1.0
AQP5,"['C0032617', 'Increased urine output', 'HPO, SNOMEDCT_US', 'HP:0000103']",NA,0.2255612526804259,357,336,1.0
PIEZO1,"['C0029456', 'Osteoporosis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0000939']",S,0.22556507324463151,174,1612,2.0
CAD,"['C0004763', 'Barret syndrome', 'HPO', 'HP:0100580']",NA,0.22558338156317084,1302,354,3.0
CDKN1A,"['C0005695', 'Bladder cancer', 'HPO', 'HP:0009725']",S,0.2255927929972475,202,1388,2.0
PPARG,"['C0007193', 'Congestive cardiomyopathy', 'SNOMEDCT_US, HPO', 'HP:0001644']",1.0,0.22560929918888947,305,393,1.0
PPARG,"['C0311277', 'Abdominal obesity', 'HPO, SNOMEDCT_US', 'HP:0012743']",1.0,0.22560929918888947,305,393,1.0
NFIX,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.22561656159985868,10,28028,2.0
SYNGAP1,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.22561656159985868,10,28028,2.0
NRXN1,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.22561656159985868,10,28028,2.0
RECQL4,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.22561656159985868,10,28028,2.0
SLC19A3,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.22561656159985868,10,28028,2.0
AP1S1,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.22561656159985868,10,28028,2.0
LOXL2,"['C0239946', 'Hepatic fibrosis', 'OMIM, SNOMEDCT_US, HPO', 'HP:0001395']",NA,0.22561865664950995,177,3703,4.0
DSG2,"['C0206698', 'Bile duct cancer', 'HPO', 'HP:0030153']",NA,0.2256214544048925,79,1517,1.0
NRAS,"['C4721610', 'Ovarian carcinoma', 'HPO', 'HP:0025318']",NA,0.225638585997143,389,308,1.0
NOS3,"['C0872084', 'Age-related loss of skeletal muscle mass', 'SNOMEDCT_US', 'NULL']",NA,0.22565074659061746,121,990,1.0
BID,"['C0019360', 'Herpes Zoster', 'MSH', 'NULL']",NA,0.22565123874255516,460,609,2.0
CAD,"['C3887611', 'Restlessness', 'OMIM, SNOMEDCT_US, HPO', 'HP:0000711']",NA,0.22565406350371786,1302,92,1.0
BRD3,"['C0376358', 'Prostate cancer', 'HPO', 'HP:0012125']",NA,0.2256571851356074,62,4518,2.0
NEK6,"['C0376358', 'Prostate cancer', 'HPO', 'HP:0012125']",NA,0.2256571851356074,62,4518,2.0
ATR,"['C0021670', 'Pancreatic insulinoma', 'HPO', 'HP:0012197']",NA,0.22566235651340658,249,481,1.0
TFPI,"['C0017152', 'Gastritis', 'MSH, SNOMEDCT_US, HPO, OMIM', 'HP:0005263']",NA,0.22566456815806948,85,1409,1.0
KIR2DL1,"['C0023890', 'Cirrhosis', 'OMIM, SNOMEDCT_US, HPO, MSH', 'HP:0001394']",NA,0.22567728654852148,14,8553,1.0
CASP7,"['C0004364', 'Autoimmune condition', 'HPO', 'HP:0002960']",NA,0.22568940362123407,49,5714,2.0
GDF15,"['C0020672', 'Abnormally low body temperature', 'HPO', 'HP:0002045']",NA,0.22571047646079354,327,366,1.0
BRDT,"['C0004096', 'Asthma', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002099']",NA,0.2257126897131861,26,4603,1.0
GPX3,"['C0004096', 'Asthma', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002099']",NA,0.2257126897131861,26,4603,1.0
PGM3,"['C0004096', 'Asthma', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0002099']",NA,0.2257126897131861,26,4603,1.0
SYCP3,"['C0023418', 'Leukemia', 'HPO', 'HP:0001909']",NA,0.22572154346255388,19,6298,1.0
RICTOR,"['C0023418', 'Leukemia', 'HPO', 'HP:0001909']",NA,0.22572154346255388,19,6298,1.0
CLEC12A,"['C0023418', 'Leukemia', 'HPO', 'HP:0001909']",NA,0.22572154346255388,19,6298,1.0
MN1,"['C0023418', 'Leukemia', 'HPO', 'HP:0001909']",NA,0.22572154346255388,19,6298,1.0
VWF,"['C1408258', 'Kidney damage', 'HPO', 'HP:0000112']",NA,0.22572265026446225,310,386,1.0
HPD,"['C1408258', 'Kidney damage', 'HPO', 'HP:0000112']",NA,0.22572265026446225,310,386,1.0
ACE,"['C0178650', 'Gammopathy', 'SNOMEDCT_US', 'NULL']",1.0,0.22573205882765401,2099,57,1.0
ACE,"['C0038450', 'Stridor', 'OMIM, HPO, SNOMEDCT_US, MSH', 'HP:0010307']",1.0,0.22573205882765401,2099,57,1.0
NLRP3,"['C0032453', 'Chronic polychondritis', 'SNOMEDCT_US', 'NULL']",1.0,0.22574700458785713,8544,14,1.0
ABCB1,"['C0311468', 'High blood bilirubin levels', 'HPO', 'HP:0002904']",NA,0.2257558629266542,400,299,1.0
DBP,"['C1704436', 'Peripheral Arterial Diseases', 'MSH', 'NULL']",NA,0.22575863140056,469,255,1.0
PLAC8,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.22578727203069723,27,17022,3.0
BCL11B,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.22578727203069723,27,17022,3.0
SPRY4,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.22579157407203967,48,167631,31.0
ITCH,"['C0004368', 'Autoimmunity', 'HPO, PPTO', 'HP:0002960']",NA,0.22582510952041474,45,2655,1.0
HDAC2,"['C3839736', 'Sensitization', 'SNOMEDCT_US', 'NULL']",NA,0.22587729926802497,355,1293,3.0
CXCL9,"['C0018213', 'Morbus Basedow', 'HPO', 'HP:0100647']",NA,0.22587778540270081,508,235,1.0
RSAD2,"['C0010674', 'CF - Cystic fibrosis', 'SNOMEDCT_US', 'NULL']",NA,0.2258800042541336,48,2487,1.0
IFI44,"['C0010674', 'CF - Cystic fibrosis', 'SNOMEDCT_US', 'NULL']",NA,0.2258800042541336,48,2487,1.0
TRPV2,"['C0001807', 'Aggression', 'HPO', 'HP:0000718']",NA,0.22589165444406906,73,1635,1.0
GDF11,"['C0001807', 'Aggression', 'HPO', 'HP:0000718']",NA,0.22589165444406906,73,1635,1.0
MBP,"['C0878575', 'Demyelination', 'HPO', 'HP:0011096']",NA,0.2259144059618736,353,338,1.0
ITK,"['C1262477', 'Decreased body weight', 'HPO', 'HP:0004325']",NA,0.22592217656345748,20,5965,1.0
UBR1,"['C1262477', 'Decreased body weight', 'HPO', 'HP:0004325']",1.0,0.22592217656345748,20,5965,1.0
