gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
AFP,"['C0231218', 'Malaise', 'SNOMEDCT_US, HPO', 'HP:0012378']",NA,0.001059098950904075,802,4438,1.0
TRAF6,"['C0011581', 'Depression', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0000716']",NA,0.0010626340049524523,918,3877,1.0
STIM1,"['C4021734', 'Abnormality of mitochondrial metabolism', 'HPO', 'HP:0003287']",S,0.001067955547422168,1736,2050,1.0
NOS2,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",S,0.0011045910922068568,254,28028,2.0
HMGB1,"['C0152013', 'Lung adenocarcinoma', 'HPO', 'HP:0030078']",1.0,0.0011093391596770081,6945,1025,2.0
ASS1,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.001110952919875465,94,37835,1.0
DPP4,"['C1140680', 'Ovarian cancer', 'HPO', 'HP:0100615']",1.0,0.001119146061884351,942,3775,1.0
NLRP3,"['C0035204', 'Disorder of respiratory system', 'SNOMEDCT_US', 'NULL']",1.0,0.0011276689315752317,8544,1250,3.0
CAD,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.0011300330665373185,1302,30120,11.0
RIPK1,"['C0023890', 'Cirrhosis', 'OMIM, SNOMEDCT_US, HPO, MSH', 'HP:0001394']",NA,0.0011340011862379952,832,8553,2.0
JAK1,"['C1262477', 'Decreased body weight', 'HPO', 'HP:0004325']",NA,0.0011360941861408404,596,5965,1.0
TPMT,"['C0020615', 'Hypoglycemia', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001943']",1.0,0.0011512207907295082,1081,3288,1.0
PACSIN2,"['C0012634', 'Clinical disease AND/OR syndrome', 'SNOMEDCT_US', 'NULL']",NA,0.0011522619974803203,39,182416,2.0
AQP2,"['C1457887', 'Symptom (administrative concept)', 'SNOMEDCT_US', 'NULL']",NA,0.0011543508645081631,118,30120,1.0
